"first_col","second_col","third_col","fourth_col","fifth_col"
62,427,586,"Alpaca","j"
36,212,10,"Guinea Pig","f"
92,326,956,"Goat","o"
51,361,680,"Sheep","m"
19,381,913,"Hedgehog","y"
21,277,23,"Alpaca","p"
27,460,108,"Snake","w"
47,110,284,"Goat","s"
47,257,600,"Guinea Pig","f"
31,280,942,"Ferret","r"
17,231,388,"Frog or Toad","d"
59,110,702,"Rabbit","o"
92,45,150,"Gerbil","v"
80,75,355,"Stick-Bugs","x"
30,480,736,"Goat","c"
34,382,368,"Horse","m"
24,104,454,"Hamster","v"
46,87,63,"Cat","j"
8,29,940,"Hedgehog","t"
44,171,319,"Stick-Bugs","r"
11,420,820,"Rat","q"
72,128,998,"Mantis","x"
96,368,69,"Ant Farm","q"
68,200,632,"Mantis","p"
43,105,547,"Gerbil","y"
13,446,85,"Hedgehog","m"
70,86,636,"Gecko","t"
28,72,299,"Guinea Pig","d"
85,162,504,"Ant Farm","w"
25,463,516,"Rat","v"
35,296,815,"Newt","x"
88,12,813,"Spider","x"
64,65,267,"Frog or Toad","h"
46,433,553,"Bird","q"
19,108,418,"Spider","p"
27,228,515,"Guinea Pig","z"
59,14,71,"Fish","a"
30,316,317,"Frog or Toad","s"
3,255,371,"Cat","u"
77,59,228,"Hermit Crab","l"
100,214,95,"Sheep","r"
66,488,720,"Gecko","q"
69,303,556,"Hermit Crab","v"
21,266,109,"Rabbit","h"
22,495,863,"Mantis","r"
30,424,118,"Ferret","g"
20,220,705,"Pig","g"
14,472,846,"Pig","c"
49,304,747,"Gerbil","w"
10,494,944,"Mantis","k"
83,96,216,"Snake","q"
81,490,241,"Frog or Toad","w"
36,237,648,"Gerbil","w"
26,240,976,"Fish","m"
75,183,554,"Hamster","d"
38,172,717,"Newt","v"
5,215,487,"Spider","a"
43,387,345,"Horse","y"
10,368,25,"Pig","u"
4,427,587,"Ferret","s"
20,202,769,"Hermit Crab","s"
73,207,465,"Rabbit","e"
3,54,164,"Guinea Pig","r"
19,459,788,"Bird","o"
76,448,419,"Cat","y"
15,480,529,"Gerbil","d"
21,261,38,"Cat","k"
33,322,457,"Pig","t"
14,185,348,"Stick-Bugs","t"
21,475,623,"Iguana","z"
56,426,364,"Goat","d"
7,100,437,"Gecko","b"
20,263,674,"Stick-Bugs","k"
98,172,832,"Ferret","h"
55,298,23,"Hamster","v"
66,61,39,"Sheep","p"
1,25,967,"Guinea Pig","y"
50,409,679,"Pig","h"
24,463,365,"Dog","s"
37,348,969,"Bird","i"
23,24,973,"Snake","s"
82,452,291,"Pig","p"
18,388,245,"Bird","g"
49,347,755,"Guinea Pig","q"
42,26,233,"Hermit Crab","t"
33,354,953,"Alpaca","x"
3,124,241,"Salamander","z"
6,287,720,"Frog or Toad","e"
37,497,649,"Ferret","n"
14,261,64,"Rat","c"
55,339,620,"Frog or Toad","z"
44,369,998,"Turtle or Tortoise","j"
95,44,496,"Cat","n"
59,255,919,"Goat","q"
75,311,152,"Goat","c"
13,487,327,"Hermit Crab","z"
15,367,7,"Goat","x"
47,138,41,"Hedgehog","p"
69,373,403,"Turtle or Tortoise","d"
76,178,172,"Hermit Crab","x"
