"first_col","second_col","third_col","fourth_col","fifth_col"
48,227,515,"Hamster","d"
71,303,177,"Gerbil","y"
62,343,590,"Turtle or Tortoise","u"
19,487,280,"Bird","o"
20,453,808,"Rabbit","k"
10,97,58,"Gecko","o"
41,15,422,"Fish","k"
39,33,618,"Fish","c"
9,451,662,"Bird","h"
44,123,223,"Newt","y"
41,222,684,"Cat","x"
29,160,123,"Iguana","j"
79,294,97,"Cat","m"
73,47,316,"Bird","f"
32,125,353,"Frog or Toad","i"
41,258,181,"Newt","i"
45,20,570,"Goat","m"
51,29,417,"Hermit Crab","n"
17,199,857,"Bird","t"
98,233,426,"Ant Farm","f"
86,360,482,"Iguana","w"
81,500,743,"Stick-Bugs","t"
46,139,814,"Goat","h"
13,280,999,"Gerbil","a"
20,205,359,"Rabbit","b"
35,304,616,"Mouse","t"
40,155,303,"Guinea Pig","s"
12,414,508,"Sheep","a"
88,326,331,"Pig","v"
66,338,940,"Snake","f"
40,348,652,"Sheep","h"
96,148,549,"Goat","p"
10,106,850,"Fish","z"
33,198,141,"Newt","f"
31,216,571,"Mantis","a"
86,455,643,"Fish","d"
51,72,503,"Cat","l"
91,313,479,"Frog or Toad","c"
35,65,763,"Mantis","m"
41,468,963,"Rabbit","j"
48,412,967,"Hamster","m"
14,53,234,"Gerbil","o"
48,468,504,"Newt","s"
7,168,175,"Salamander","i"
45,328,766,"Spider","z"
78,125,57,"Hedgehog","g"
58,430,167,"Horse","l"
88,191,497,"Gecko","z"
31,441,481,"Hedgehog","k"
3,279,738,"Fish","k"
41,303,83,"Mouse","h"
33,291,223,"Guinea Pig","h"
25,470,270,"Hermit Crab","r"
66,161,26,"Bird","a"
70,1,810,"Gerbil","b"
21,160,660,"Guinea Pig","w"
94,247,468,"Horse","o"
84,303,67,"Salamander","b"
27,162,540,"Guinea Pig","d"
13,37,244,"Alpaca","r"
28,34,682,"Hermit Crab","l"
100,440,77,"Turtle or Tortoise","b"
4,316,967,"Salamander","i"
44,416,104,"Hamster","z"
21,117,592,"Pig","v"
33,29,520,"Salamander","b"
5,7,84,"Snake","g"
25,458,319,"Dog","n"
56,63,510,"Hedgehog","b"
21,239,537,"Hamster","r"
46,41,302,"Goat","f"
79,436,18,"Ant Farm","b"
81,135,431,"Gerbil","k"
13,34,328,"Goat","g"
49,348,102,"Iguana","p"
13,314,737,"Hermit Crab","f"
42,455,466,"Sheep","s"
95,485,412,"Hedgehog","k"
18,111,452,"Spider","s"
26,11,520,"Hermit Crab","b"
14,37,26,"Fish","o"
36,367,556,"Spider","s"
28,243,448,"Sheep","u"
8,5,410,"Ant Farm","m"
10,16,612,"Rabbit","u"
7,189,847,"Iguana","s"
67,71,400,"Bird","d"
59,112,640,"Hamster","p"
20,253,336,"Pig","v"
21,428,113,"Rat","n"
40,307,218,"Rat","h"
90,79,463,"Bird","e"
24,77,657,"Hamster","z"
22,37,945,"Alpaca","p"
49,39,362,"Turtle or Tortoise","f"
67,490,258,"Rabbit","k"
17,464,542,"Gerbil","s"
10,141,80,"Hamster","y"
11,308,55,"Newt","x"
33,410,344,"Pig","b"
