"first_col","second_col","third_col","fourth_col","fifth_col"
88,14,670,"Gecko","g"
9,387,655,"Mantis","p"
37,110,471,"Salamander","p"
65,128,166,"Mantis","b"
64,412,734,"Ant Farm","q"
16,105,482,"Turtle or Tortoise","y"
24,367,165,"Mantis","h"
34,372,673,"Bird","k"
94,11,822,"Fish","p"
60,361,779,"Dog","m"
9,439,72,"Cat","j"
70,146,330,"Frog or Toad","f"
23,172,806,"Newt","x"
2,76,34,"Frog or Toad","r"
13,173,257,"Pig","h"
87,391,493,"Hermit Crab","x"
44,440,256,"Turtle or Tortoise","w"
45,9,724,"Frog or Toad","x"
45,163,987,"Pig","v"
2,142,545,"Stick-Bugs","s"
92,266,233,"Stick-Bugs","t"
23,51,551,"Rat","t"
41,190,422,"Spider","f"
56,388,535,"Rabbit","e"
14,54,16,"Rabbit","c"
27,120,376,"Dog","j"
2,276,176,"Rabbit","x"
55,464,487,"Fish","g"
93,89,898,"Gerbil","n"
41,327,445,"Newt","f"
38,66,173,"Gecko","y"
51,247,473,"Guinea Pig","p"
27,388,911,"Salamander","k"
24,278,584,"Gecko","s"
50,273,892,"Hermit Crab","f"
86,251,73,"Spider","h"
37,123,755,"Frog or Toad","j"
12,465,618,"Gecko","h"
46,377,945,"Alpaca","i"
44,122,204,"Turtle or Tortoise","d"
2,493,334,"Spider","g"
35,15,873,"Turtle or Tortoise","l"
42,311,392,"Newt","d"
21,242,201,"Gecko","e"
41,169,292,"Ant Farm","f"
64,345,451,"Iguana","j"
61,44,611,"Sheep","g"
75,177,176,"Mantis","y"
23,193,712,"Horse","l"
41,267,837,"Fish","m"
63,35,793,"Pig","j"
89,467,424,"Stick-Bugs","p"
1,164,793,"Newt","w"
20,235,472,"Cat","d"
92,252,764,"Rat","h"
23,358,23,"Alpaca","j"
40,219,153,"Newt","u"
68,415,898,"Bird","d"
90,372,368,"Gecko","t"
54,307,976,"Gecko","q"
47,243,715,"Hedgehog","s"
5,98,200,"Mantis","x"
80,366,939,"Gerbil","s"
83,239,579,"Pig","y"
90,303,61,"Mantis","c"
46,269,990,"Ant Farm","a"
71,114,392,"Alpaca","e"
46,346,355,"Mantis","v"
52,387,957,"Iguana","e"
30,134,600,"Mantis","w"
35,360,993,"Hamster","k"
39,294,122,"Ferret","w"
33,33,953,"Bird","t"
32,421,200,"Snake","v"
40,364,274,"Dog","i"
25,361,964,"Guinea Pig","q"
22,54,545,"Hermit Crab","i"
72,35,188,"Frog or Toad","q"
76,47,613,"Fish","p"
16,244,213,"Guinea Pig","g"
97,81,460,"Ferret","r"
63,168,404,"Goat","y"
70,364,731,"Hermit Crab","s"
20,68,354,"Gecko","j"
26,147,514,"Stick-Bugs","b"
59,27,653,"Gecko","t"
32,94,105,"Fish","b"
83,215,948,"Frog or Toad","q"
32,146,423,"Goat","z"
40,373,804,"Ant Farm","w"
61,377,152,"Snake","b"
18,3,688,"Gerbil","h"
28,436,800,"Bird","v"
78,392,396,"Hamster","l"
94,99,956,"Cat","o"
12,146,465,"Snake","i"
78,494,303,"Mantis","q"
59,194,527,"Spider","q"
65,478,444,"Snake","g"
56,418,170,"Bird","f"
