"first_col","second_col","third_col","fourth_col","fifth_col"
5,215,657,"Horse","h"
96,13,543,"Horse","t"
84,287,685,"Gerbil","g"
72,397,821,"Rat","r"
80,101,380,"Pig","u"
93,299,174,"Frog or Toad","m"
3,434,954,"Ferret","x"
42,402,565,"Mouse","j"
18,17,571,"Alpaca","a"
19,301,261,"Horse","s"
5,356,693,"Rat","w"
6,48,146,"Mantis","i"
6,250,883,"Stick-Bugs","c"
25,70,592,"Cat","p"
93,171,897,"Dog","z"
43,267,852,"Mantis","q"
18,383,498,"Cat","b"
18,14,913,"Ferret","j"
14,323,889,"Alpaca","v"
16,320,87,"Ferret","u"
40,393,526,"Newt","v"
75,130,999,"Mantis","a"
90,322,557,"Rabbit","r"
9,318,800,"Newt","v"
92,167,824,"Turtle or Tortoise","d"
75,75,478,"Gecko","s"
9,19,260,"Iguana","k"
89,293,1000,"Gerbil","p"
18,491,712,"Fish","n"
42,447,29,"Guinea Pig","f"
57,89,289,"Rabbit","k"
44,23,538,"Sheep","a"
43,123,296,"Gerbil","y"
80,335,25,"Dog","k"
40,370,724,"Snake","a"
4,330,954,"Frog or Toad","b"
99,191,930,"Mouse","o"
77,194,530,"Fish","n"
1,181,829,"Frog or Toad","w"
60,131,105,"Gecko","y"
43,219,870,"Pig","y"
31,172,143,"Newt","b"
4,347,697,"Spider","j"
53,197,124,"Rabbit","g"
38,167,225,"Horse","w"
46,214,978,"Goat","g"
40,355,221,"Ant Farm","d"
82,230,648,"Dog","p"
22,478,641,"Ferret","b"
31,101,964,"Rabbit","u"
45,134,418,"Newt","d"
43,223,588,"Goat","d"
8,274,208,"Gecko","j"
20,205,73,"Fish","e"
75,130,512,"Hedgehog","l"
93,275,521,"Sheep","h"
13,182,360,"Spider","r"
79,456,76,"Rabbit","d"
34,338,728,"Goat","x"
16,157,241,"Stick-Bugs","b"
98,199,74,"Dog","r"
10,392,475,"Iguana","f"
86,374,978,"Iguana","b"
44,344,914,"Sheep","q"
49,71,116,"Sheep","y"
18,132,320,"Gerbil","z"
43,410,691,"Pig","b"
40,265,922,"Alpaca","w"
37,256,385,"Mouse","m"
12,440,756,"Iguana","x"
50,101,456,"Guinea Pig","p"
12,332,329,"Newt","w"
87,388,56,"Spider","f"
14,154,158,"Alpaca","d"
25,493,373,"Gecko","r"
6,422,272,"Rat","x"
86,354,406,"Dog","a"
44,387,586,"Dog","t"
3,96,662,"Iguana","d"
59,307,720,"Ferret","z"
5,54,555,"Guinea Pig","z"
52,81,732,"Frog or Toad","m"
9,391,706,"Gerbil","q"
69,486,524,"Mouse","w"
78,197,853,"Ant Farm","n"
30,445,856,"Ferret","f"
14,290,318,"Horse","n"
81,95,399,"Rabbit","p"
49,266,272,"Hamster","k"
88,425,499,"Spider","g"
77,442,92,"Gecko","o"
16,466,806,"Dog","r"
78,225,986,"Ant Farm","x"
11,473,203,"Hermit Crab","l"
74,254,202,"Fish","s"
42,255,274,"Sheep","e"
4,122,362,"Hamster","r"
96,393,116,"Fish","l"
48,393,553,"Rabbit","l"
37,180,158,"Cat","l"
