"first_col","second_col","third_col","fourth_col","fifth_col"
76,272,996,"Mouse","l"
41,370,13,"Dog","p"
86,466,606,"Cat","x"
8,373,183,"Rat","w"
88,48,897,"Horse","r"
88,492,506,"Gecko","t"
15,462,575,"Mouse","v"
14,384,527,"Mantis","w"
91,424,223,"Mantis","i"
13,41,474,"Snake","j"
25,284,172,"Goat","o"
94,361,703,"Hermit Crab","m"
52,189,899,"Dog","z"
15,335,513,"Snake","l"
46,81,81,"Pig","s"
42,326,596,"Hamster","j"
7,468,627,"Frog or Toad","n"
94,216,727,"Mantis","i"
37,131,813,"Iguana","h"
24,223,957,"Turtle or Tortoise","a"
87,349,264,"Alpaca","a"
17,177,332,"Hedgehog","s"
60,158,148,"Hedgehog","r"
14,446,381,"Rat","c"
40,372,887,"Snake","n"
45,67,421,"Rabbit","g"
27,100,376,"Frog or Toad","f"
31,108,524,"Bird","j"
2,280,586,"Iguana","o"
94,385,916,"Hermit Crab","t"
41,90,322,"Frog or Toad","i"
46,327,419,"Goat","x"
100,413,800,"Rat","x"
58,148,920,"Hedgehog","c"
80,391,310,"Cat","i"
94,378,93,"Mouse","j"
23,146,216,"Ant Farm","d"
30,465,126,"Fish","j"
49,68,365,"Horse","r"
23,480,626,"Gecko","o"
42,309,434,"Cat","i"
56,427,92,"Alpaca","k"
16,367,540,"Turtle or Tortoise","m"
12,392,231,"Hedgehog","g"
8,441,690,"Spider","w"
26,33,641,"Salamander","m"
62,205,899,"Snake","n"
52,482,404,"Hamster","e"
34,434,710,"Goat","k"
61,481,480,"Frog or Toad","i"
49,210,506,"Sheep","z"
56,137,800,"Turtle or Tortoise","e"
7,46,253,"Hamster","v"
36,415,897,"Mouse","f"
7,311,494,"Mouse","k"
7,1,402,"Salamander","w"
48,308,273,"Bird","l"
68,292,89,"Newt","q"
46,126,686,"Horse","o"
1,217,450,"Bird","s"
38,449,99,"Stick-Bugs","a"
18,231,157,"Bird","v"
14,449,976,"Hamster","i"
13,30,562,"Hamster","v"
100,195,926,"Iguana","s"
40,309,122,"Snake","x"
60,482,383,"Rabbit","t"
44,92,505,"Stick-Bugs","k"
36,293,457,"Ant Farm","u"
90,337,956,"Guinea Pig","n"
88,168,40,"Mantis","f"
18,131,266,"Ferret","u"
48,162,914,"Hermit Crab","v"
46,394,721,"Alpaca","m"
54,305,796,"Hermit Crab","c"
1,173,193,"Bird","v"
31,122,436,"Frog or Toad","z"
35,241,617,"Alpaca","y"
82,309,754,"Hermit Crab","y"
60,448,343,"Spider","h"
18,260,190,"Mantis","e"
93,67,163,"Guinea Pig","f"
15,204,485,"Spider","u"
66,272,25,"Rat","w"
44,414,902,"Bird","y"
49,77,560,"Pig","f"
26,416,30,"Rat","n"
23,453,168,"Rat","u"
69,211,921,"Snake","f"
14,145,649,"Goat","g"
85,196,911,"Snake","e"
14,124,465,"Mouse","e"
33,285,638,"Goat","e"
67,81,32,"Guinea Pig","d"
70,151,488,"Frog or Toad","g"
48,438,788,"Snake","f"
88,56,835,"Mantis","m"
7,316,568,"Snake","x"
20,416,317,"Fish","u"
72,341,642,"Stick-Bugs","b"
