"first_col","second_col","third_col","fourth_col","fifth_col"
34,253,349,"Ant Farm","r"
27,167,588,"Guinea Pig","o"
93,432,839,"Bird","v"
68,80,20,"Fish","y"
35,495,207,"Gerbil","p"
8,89,365,"Snake","p"
14,252,87,"Frog or Toad","q"
13,355,426,"Cat","f"
48,441,442,"Frog or Toad","n"
95,240,120,"Frog or Toad","l"
95,442,817,"Mouse","f"
3,165,994,"Alpaca","s"
100,391,5,"Iguana","f"
71,350,734,"Spider","b"
35,3,182,"Fish","q"
62,144,947,"Ant Farm","o"
74,400,200,"Turtle or Tortoise","o"
57,234,382,"Cat","i"
84,287,300,"Hamster","j"
60,105,226,"Salamander","p"
23,443,508,"Cat","z"
83,178,109,"Hedgehog","h"
79,59,602,"Hamster","x"
41,38,178,"Spider","u"
23,246,615,"Guinea Pig","f"
88,280,814,"Horse","f"
89,57,375,"Alpaca","j"
55,203,703,"Frog or Toad","i"
30,271,6,"Gecko","k"
19,349,576,"Ant Farm","z"
86,65,53,"Hamster","a"
75,345,935,"Gecko","r"
39,304,558,"Mouse","d"
49,455,800,"Spider","l"
35,375,376,"Pig","a"
1,174,893,"Goat","p"
23,290,297,"Fish","w"
97,228,268,"Spider","i"
14,211,87,"Mouse","z"
37,484,572,"Mouse","m"
38,69,52,"Bird","v"
86,111,778,"Iguana","g"
68,317,101,"Mantis","d"
65,136,719,"Ferret","r"
98,448,629,"Guinea Pig","f"
30,241,549,"Hamster","w"
93,155,401,"Fish","g"
23,474,937,"Gerbil","v"
85,116,150,"Gerbil","n"
46,81,818,"Salamander","v"
30,242,542,"Gecko","o"
23,137,119,"Dog","i"
97,74,908,"Ferret","y"
11,193,780,"Ant Farm","t"
31,410,790,"Dog","x"
17,54,146,"Goat","h"
16,459,3,"Pig","a"
47,82,739,"Guinea Pig","v"
20,337,86,"Mouse","l"
21,210,255,"Cat","p"
36,153,605,"Salamander","x"
8,275,825,"Sheep","g"
84,433,753,"Dog","c"
89,218,238,"Iguana","a"
80,100,92,"Hedgehog","r"
66,457,37,"Hamster","r"
31,438,206,"Mouse","i"
6,283,344,"Mouse","l"
6,466,424,"Ant Farm","q"
96,196,405,"Horse","h"
30,341,512,"Fish","f"
31,345,824,"Ant Farm","r"
15,149,602,"Salamander","m"
39,83,321,"Sheep","t"
19,163,426,"Rat","w"
19,73,428,"Rat","i"
53,344,854,"Mantis","b"
25,337,478,"Gecko","i"
62,334,254,"Snake","y"
7,4,43,"Newt","p"
17,443,623,"Dog","w"
6,465,943,"Pig","j"
23,180,248,"Spider","z"
44,301,775,"Ferret","c"
6,38,774,"Mantis","o"
20,267,342,"Gecko","f"
67,100,953,"Hedgehog","v"
5,31,330,"Bird","v"
23,269,787,"Iguana","q"
40,427,259,"Dog","c"
48,246,745,"Cat","v"
48,108,407,"Mouse","u"
20,233,670,"Turtle or Tortoise","c"
18,300,10,"Iguana","a"
22,170,962,"Turtle or Tortoise","y"
38,316,274,"Hedgehog","x"
4,291,217,"Ant Farm","e"
1,186,295,"Pig","i"
99,108,714,"Stick-Bugs","x"
56,359,477,"Ferret","q"
