"first_col","second_col","third_col","fourth_col","fifth_col"
50,116,961,"Mantis","b"
31,497,71,"Ant Farm","b"
40,216,515,"Guinea Pig","h"
43,461,87,"Goat","c"
90,6,556,"Bird","w"
50,227,139,"Iguana","w"
11,34,171,"Dog","p"
76,29,490,"Rat","z"
44,434,202,"Goat","f"
28,163,424,"Frog or Toad","i"
37,257,992,"Ant Farm","j"
9,13,532,"Salamander","k"
100,21,401,"Mantis","x"
10,415,101,"Guinea Pig","j"
47,427,721,"Guinea Pig","o"
30,448,598,"Rabbit","a"
53,203,310,"Alpaca","v"
13,190,678,"Gecko","t"
94,384,254,"Ant Farm","e"
9,214,166,"Guinea Pig","v"
21,170,27,"Guinea Pig","g"
40,292,709,"Guinea Pig","m"
18,335,678,"Snake","d"
41,118,915,"Rabbit","s"
39,123,436,"Horse","w"
40,12,891,"Gecko","u"
96,230,928,"Alpaca","u"
34,113,912,"Cat","x"
44,301,251,"Mantis","c"
28,338,385,"Gecko","h"
64,286,375,"Gecko","y"
20,156,576,"Mouse","k"
80,170,634,"Fish","j"
34,292,948,"Mouse","k"
29,259,388,"Stick-Bugs","z"
38,227,230,"Hermit Crab","g"
4,209,73,"Guinea Pig","b"
39,470,123,"Rat","s"
84,69,672,"Hamster","u"
33,17,331,"Goat","g"
48,407,749,"Spider","d"
46,73,63,"Hermit Crab","q"
38,95,855,"Salamander","y"
27,50,223,"Cat","u"
49,272,81,"Cat","n"
37,142,262,"Gerbil","m"
36,77,153,"Guinea Pig","c"
37,30,596,"Turtle or Tortoise","n"
76,226,97,"Cat","r"
55,433,808,"Salamander","z"
12,96,762,"Frog or Toad","k"
14,58,551,"Spider","b"
33,353,528,"Salamander","t"
11,263,659,"Bird","u"
26,93,167,"Newt","e"
50,129,647,"Pig","e"
28,215,693,"Dog","n"
88,220,794,"Rat","p"
15,255,716,"Cat","z"
15,6,98,"Gerbil","t"
45,462,457,"Guinea Pig","f"
17,261,310,"Guinea Pig","s"
17,263,756,"Rat","i"
13,478,938,"Hedgehog","q"
14,401,668,"Ant Farm","g"
90,102,779,"Mantis","u"
10,419,41,"Salamander","a"
47,21,154,"Newt","y"
52,52,369,"Bird","p"
63,179,669,"Sheep","p"
47,82,103,"Newt","s"
39,341,579,"Cat","v"
45,374,913,"Dog","k"
80,268,962,"Cat","h"
8,37,173,"Mouse","c"
68,106,487,"Spider","b"
37,142,831,"Frog or Toad","w"
26,442,278,"Iguana","r"
27,269,490,"Cat","l"
4,344,230,"Mantis","n"
17,10,585,"Iguana","r"
33,339,775,"Cat","v"
84,373,128,"Gerbil","j"
41,91,11,"Cat","w"
17,175,292,"Ant Farm","b"
99,201,699,"Frog or Toad","s"
30,391,232,"Horse","u"
4,133,885,"Gecko","a"
6,418,575,"Dog","j"
18,145,9,"Fish","p"
48,323,652,"Spider","m"
17,246,225,"Gerbil","u"
9,205,838,"Mouse","j"
98,138,387,"Spider","x"
7,50,762,"Alpaca","j"
50,475,446,"Fish","s"
48,404,118,"Iguana","p"
15,245,321,"Ant Farm","r"
59,231,363,"Dog","q"
83,360,609,"Hedgehog","w"
