"first_col","second_col","third_col","fourth_col","fifth_col"
97,285,812,"Frog or Toad","q"
91,201,430,"Turtle or Tortoise","u"
97,86,52,"Horse","v"
42,213,472,"Rabbit","z"
37,283,798,"Cat","p"
61,69,343,"Cat","b"
66,440,287,"Rabbit","v"
64,13,199,"Hermit Crab","z"
21,11,283,"Pig","z"
70,85,403,"Guinea Pig","d"
44,170,27,"Rabbit","p"
37,57,534,"Hamster","x"
83,51,486,"Hamster","u"
98,224,112,"Ferret","v"
73,348,349,"Ant Farm","s"
39,129,3,"Goat","y"
40,442,614,"Alpaca","k"
87,172,101,"Guinea Pig","g"
25,8,180,"Snake","i"
11,341,66,"Hamster","v"
2,365,85,"Iguana","s"
13,424,261,"Horse","q"
84,370,216,"Frog or Toad","d"
5,470,476,"Iguana","k"
79,4,420,"Spider","c"
70,481,833,"Hedgehog","x"
10,108,621,"Stick-Bugs","e"
83,272,201,"Newt","f"
35,68,588,"Mantis","d"
18,181,880,"Spider","s"
66,227,650,"Mantis","x"
27,31,799,"Goat","s"
8,63,145,"Gecko","v"
60,485,600,"Guinea Pig","x"
81,346,392,"Hedgehog","f"
19,499,49,"Alpaca","v"
98,500,135,"Salamander","c"
24,457,30,"Spider","o"
27,245,824,"Fish","a"
12,97,958,"Horse","b"
42,405,996,"Hermit Crab","a"
99,101,655,"Iguana","v"
32,458,397,"Bird","e"
11,464,244,"Turtle or Tortoise","w"
16,123,29,"Fish","h"
12,217,763,"Mouse","w"
28,239,460,"Mouse","i"
14,207,285,"Hermit Crab","u"
96,468,431,"Stick-Bugs","q"
6,2,744,"Spider","v"
58,410,723,"Ant Farm","w"
44,265,928,"Spider","v"
8,358,525,"Goat","i"
94,92,117,"Hedgehog","n"
89,60,660,"Goat","g"
32,375,467,"Iguana","c"
43,438,891,"Horse","g"
84,212,273,"Guinea Pig","d"
31,380,66,"Turtle or Tortoise","d"
16,404,694,"Hedgehog","p"
85,408,729,"Guinea Pig","s"
27,444,226,"Cat","z"
3,392,907,"Snake","d"
97,83,523,"Mouse","j"
60,178,356,"Goat","w"
18,322,704,"Bird","k"
5,51,771,"Gecko","r"
33,275,441,"Alpaca","u"
91,306,113,"Goat","b"
21,469,387,"Ant Farm","d"
44,466,693,"Hedgehog","z"
35,237,98,"Ferret","t"
14,66,994,"Fish","s"
63,233,692,"Guinea Pig","o"
56,83,351,"Horse","f"
36,335,991,"Spider","e"
98,190,103,"Horse","t"
2,454,907,"Horse","v"
8,416,51,"Alpaca","j"
91,220,275,"Gecko","t"
99,365,876,"Rat","e"
38,197,668,"Frog or Toad","e"
28,176,137,"Hamster","s"
90,111,650,"Horse","u"
5,314,803,"Rabbit","u"
4,316,971,"Hamster","r"
22,412,919,"Newt","z"
38,99,624,"Horse","g"
56,68,903,"Alpaca","k"
88,42,350,"Dog","t"
75,120,667,"Hermit Crab","y"
10,131,708,"Turtle or Tortoise","q"
90,110,281,"Goat","n"
3,58,371,"Goat","a"
13,225,311,"Alpaca","i"
58,37,23,"Horse","f"
23,450,798,"Dog","j"
87,178,600,"Salamander","z"
11,140,649,"Iguana","z"
12,103,788,"Newt","j"
