"first_col","second_col","third_col","fourth_col","fifth_col"
2,46,454,"Dog","o"
63,150,151,"Stick-Bugs","z"
34,56,817,"Newt","w"
74,148,140,"Salamander","f"
18,51,159,"Rabbit","o"
91,21,365,"Salamander","l"
39,133,81,"Hedgehog","i"
45,337,759,"Gerbil","a"
26,381,896,"Ant Farm","x"
38,433,359,"Mouse","a"
41,147,308,"Guinea Pig","l"
14,74,183,"Horse","n"
38,216,9,"Hermit Crab","s"
54,187,824,"Stick-Bugs","x"
56,55,18,"Salamander","w"
43,140,455,"Horse","q"
79,433,348,"Bird","y"
44,434,810,"Guinea Pig","j"
37,272,585,"Salamander","a"
56,432,288,"Mantis","h"
9,188,484,"Spider","x"
8,447,754,"Gerbil","j"
90,52,73,"Pig","f"
78,431,591,"Hamster","i"
41,14,989,"Fish","d"
65,223,26,"Newt","y"
24,211,557,"Ant Farm","e"
10,400,693,"Iguana","c"
27,445,574,"Stick-Bugs","e"
18,9,905,"Turtle or Tortoise","l"
12,33,354,"Spider","y"
10,156,982,"Gerbil","m"
92,231,36,"Bird","t"
44,247,600,"Goat","s"
86,243,904,"Pig","a"
98,34,392,"Salamander","u"
49,278,633,"Stick-Bugs","z"
10,202,1000,"Goat","y"
3,192,42,"Bird","r"
83,281,363,"Ferret","k"
17,265,215,"Rat","m"
37,389,855,"Spider","h"
50,259,763,"Pig","n"
81,435,82,"Iguana","y"
72,83,339,"Horse","k"
69,114,215,"Gerbil","a"
46,175,567,"Ferret","m"
13,434,563,"Ant Farm","j"
54,437,139,"Spider","q"
31,22,346,"Mouse","c"
14,261,512,"Stick-Bugs","b"
5,270,179,"Snake","f"
3,136,365,"Hedgehog","g"
24,2,614,"Hedgehog","e"
48,10,411,"Salamander","a"
83,43,437,"Hedgehog","h"
24,270,428,"Mouse","n"
3,269,380,"Newt","w"
42,271,432,"Iguana","p"
96,420,657,"Rat","i"
30,169,272,"Hermit Crab","h"
39,361,749,"Ferret","c"
95,486,932,"Ferret","r"
4,303,470,"Fish","u"
3,150,920,"Ferret","m"
80,28,392,"Snake","e"
45,216,99,"Snake","f"
12,99,192,"Turtle or Tortoise","t"
66,495,547,"Turtle or Tortoise","w"
76,451,701,"Turtle or Tortoise","h"
15,54,853,"Dog","j"
25,363,3,"Gecko","l"
69,83,628,"Ant Farm","i"
21,382,307,"Pig","n"
1,275,922,"Salamander","t"
59,131,124,"Ant Farm","l"
93,294,416,"Cat","q"
16,151,836,"Ant Farm","o"
42,380,267,"Turtle or Tortoise","i"
13,254,726,"Gerbil","o"
27,155,820,"Sheep","i"
28,329,556,"Salamander","d"
8,330,737,"Salamander","x"
25,332,53,"Fish","z"
89,176,895,"Turtle or Tortoise","s"
11,315,672,"Gerbil","v"
35,149,439,"Stick-Bugs","o"
18,486,262,"Hedgehog","o"
40,359,346,"Mantis","v"
36,241,41,"Gerbil","s"
89,78,160,"Rat","h"
48,423,58,"Mantis","f"
15,25,820,"Salamander","n"
59,107,43,"Frog or Toad","t"
15,139,665,"Horse","x"
38,160,955,"Hedgehog","o"
22,105,905,"Spider","y"
54,25,861,"Spider","r"
3,38,205,"Goat","y"
12,118,27,"Frog or Toad","l"
