"first_col","second_col","third_col","fourth_col","fifth_col"
46,200,770,"Iguana","m"
20,264,245,"Sheep","z"
15,457,652,"Horse","t"
100,359,657,"Snake","n"
44,154,122,"Goat","q"
46,279,304,"Bird","c"
31,450,69,"Mantis","u"
23,285,963,"Hedgehog","m"
28,256,985,"Alpaca","p"
44,203,687,"Hermit Crab","f"
43,315,651,"Horse","b"
15,388,357,"Gecko","f"
40,16,383,"Goat","l"
6,265,425,"Iguana","z"
3,40,995,"Pig","k"
79,115,55,"Turtle or Tortoise","e"
46,283,152,"Fish","o"
37,446,233,"Gecko","j"
47,184,733,"Goat","s"
44,42,552,"Rabbit","m"
29,250,253,"Fish","r"
26,320,627,"Alpaca","c"
24,333,24,"Cat","j"
25,239,161,"Frog or Toad","h"
84,30,666,"Turtle or Tortoise","u"
78,311,402,"Newt","q"
69,29,458,"Turtle or Tortoise","d"
32,475,587,"Goat","w"
53,348,264,"Stick-Bugs","m"
49,387,386,"Bird","w"
77,255,339,"Hedgehog","x"
4,21,355,"Alpaca","v"
25,242,646,"Cat","m"
39,326,700,"Snake","l"
16,147,550,"Snake","z"
2,18,257,"Hamster","s"
33,149,603,"Sheep","j"
50,286,627,"Turtle or Tortoise","q"
26,209,387,"Pig","p"
70,369,511,"Hamster","k"
42,16,721,"Guinea Pig","k"
29,247,359,"Ant Farm","b"
57,409,619,"Goat","v"
50,172,608,"Sheep","n"
14,415,545,"Salamander","r"
31,182,276,"Fish","w"
42,65,494,"Guinea Pig","q"
91,349,713,"Newt","j"
80,104,664,"Hermit Crab","d"
6,366,330,"Bird","j"
40,72,493,"Rabbit","u"
56,452,389,"Gecko","j"
79,269,664,"Frog or Toad","w"
31,330,580,"Horse","n"
22,319,264,"Pig","e"
41,445,351,"Stick-Bugs","a"
19,27,499,"Mantis","a"
67,288,316,"Pig","t"
56,3,500,"Alpaca","g"
5,434,681,"Iguana","h"
41,468,708,"Goat","r"
44,117,452,"Fish","l"
72,440,516,"Horse","k"
8,73,400,"Hamster","i"
47,124,295,"Alpaca","s"
49,308,553,"Goat","g"
86,152,272,"Hermit Crab","k"
48,458,465,"Gerbil","b"
32,478,437,"Guinea Pig","y"
60,229,296,"Snake","f"
14,52,585,"Mouse","h"
24,157,332,"Dog","i"
65,90,455,"Gerbil","o"
69,150,388,"Ant Farm","f"
6,68,359,"Ant Farm","i"
6,300,868,"Ferret","m"
75,77,402,"Goat","l"
50,394,648,"Fish","g"
71,295,393,"Dog","n"
61,408,391,"Newt","g"
34,282,673,"Rat","k"
42,334,343,"Iguana","j"
44,56,309,"Frog or Toad","p"
14,169,478,"Turtle or Tortoise","x"
9,323,554,"Salamander","k"
39,410,470,"Turtle or Tortoise","p"
72,299,27,"Alpaca","a"
8,414,197,"Gecko","z"
5,375,63,"Gerbil","r"
46,321,292,"Snake","x"
34,149,545,"Snake","p"
27,321,717,"Ferret","p"
1,449,335,"Gecko","o"
7,499,148,"Newt","k"
48,427,156,"Salamander","h"
2,14,491,"Dog","p"
14,51,684,"Iguana","y"
31,231,278,"Ferret","w"
25,322,509,"Mouse","s"
82,399,730,"Alpaca","a"
