"first_col","second_col","third_col","fourth_col","fifth_col"
35,45,638,"Horse","u"
28,270,754,"Gerbil","k"
41,119,553,"Newt","i"
14,163,905,"Salamander","e"
29,148,492,"Cat","q"
60,444,368,"Pig","g"
79,328,545,"Hedgehog","l"
32,323,297,"Frog or Toad","z"
29,173,435,"Spider","c"
48,440,799,"Ant Farm","d"
45,483,844,"Alpaca","q"
17,166,403,"Mouse","p"
1,484,595,"Cat","v"
38,205,416,"Stick-Bugs","j"
20,344,527,"Pig","s"
24,127,339,"Hedgehog","s"
44,151,355,"Alpaca","w"
40,392,644,"Mouse","q"
19,217,88,"Alpaca","h"
70,9,14,"Alpaca","j"
39,497,33,"Gerbil","z"
96,167,155,"Horse","v"
21,227,116,"Gecko","r"
4,130,336,"Gerbil","g"
9,45,134,"Snake","v"
57,327,320,"Ant Farm","l"
3,286,831,"Sheep","u"
47,494,410,"Gerbil","z"
97,185,852,"Rabbit","i"
32,144,33,"Dog","s"
19,13,801,"Turtle or Tortoise","i"
29,485,861,"Iguana","z"
64,319,130,"Rabbit","i"
45,362,214,"Hamster","p"
2,255,984,"Rabbit","j"
11,357,27,"Snake","n"
27,189,87,"Salamander","r"
18,198,827,"Gerbil","r"
98,5,7,"Rat","f"
56,458,889,"Iguana","c"
16,248,221,"Spider","t"
44,356,6,"Sheep","p"
2,363,1,"Gecko","d"
15,89,199,"Mouse","e"
50,177,238,"Ferret","z"
41,437,604,"Iguana","f"
38,159,594,"Spider","d"
12,380,213,"Hamster","e"
32,277,457,"Frog or Toad","k"
38,170,226,"Gerbil","c"
86,29,758,"Frog or Toad","l"
72,434,43,"Bird","l"
71,172,554,"Pig","q"
77,260,178,"Snake","q"
94,412,451,"Bird","d"
92,133,236,"Rat","v"
20,56,249,"Frog or Toad","g"
45,212,991,"Rat","z"
9,70,589,"Bird","v"
3,399,95,"Spider","d"
50,188,327,"Hedgehog","r"
36,139,666,"Mouse","s"
9,167,708,"Iguana","n"
51,119,828,"Hamster","v"
37,72,154,"Fish","u"
38,9,59,"Frog or Toad","o"
40,453,825,"Iguana","h"
42,56,169,"Ferret","j"
58,463,330,"Rabbit","b"
18,383,780,"Hermit Crab","b"
24,120,430,"Spider","z"
17,237,908,"Newt","t"
4,55,730,"Hermit Crab","z"
97,267,677,"Turtle or Tortoise","f"
64,480,147,"Snake","x"
14,237,133,"Alpaca","c"
29,145,992,"Alpaca","z"
25,250,230,"Gecko","v"
49,147,4,"Fish","d"
13,148,449,"Rat","k"
34,308,217,"Rat","m"
89,472,502,"Fish","q"
28,186,174,"Goat","u"
53,247,483,"Bird","q"
30,477,14,"Cat","b"
82,421,252,"Guinea Pig","k"
10,259,696,"Spider","i"
37,249,455,"Iguana","s"
35,104,606,"Snake","s"
73,111,624,"Alpaca","s"
14,453,789,"Dog","d"
79,53,270,"Stick-Bugs","i"
44,387,207,"Bird","n"
33,369,420,"Horse","v"
22,27,586,"Guinea Pig","b"
3,253,979,"Fish","w"
36,247,979,"Ferret","y"
27,114,48,"Iguana","i"
41,368,17,"Snake","o"
1,491,796,"Hamster","k"
