"first_col","second_col","third_col","fourth_col","fifth_col"
6,460,259,"Bird","t"
9,367,351,"Iguana","h"
60,151,622,"Ferret","t"
22,132,942,"Alpaca","s"
46,489,336,"Hamster","z"
48,44,584,"Frog or Toad","o"
49,398,666,"Newt","k"
14,96,90,"Stick-Bugs","n"
1,491,194,"Cat","x"
98,216,225,"Newt","v"
81,22,355,"Gerbil","k"
29,50,176,"Rat","d"
40,131,837,"Cat","c"
26,172,629,"Sheep","w"
100,28,68,"Guinea Pig","k"
36,235,156,"Ferret","s"
1,213,815,"Alpaca","x"
12,489,739,"Newt","o"
15,347,517,"Iguana","y"
77,136,502,"Stick-Bugs","j"
89,366,450,"Mouse","h"
20,104,828,"Mantis","b"
29,243,12,"Pig","g"
73,165,592,"Gecko","j"
17,104,735,"Fish","v"
56,95,222,"Gecko","x"
91,257,823,"Stick-Bugs","n"
4,336,905,"Spider","q"
52,183,724,"Iguana","l"
38,196,348,"Guinea Pig","d"
20,407,970,"Pig","h"
38,238,596,"Hamster","v"
29,410,730,"Gecko","d"
80,198,957,"Hedgehog","m"
14,14,199,"Fish","q"
27,18,980,"Guinea Pig","v"
28,499,800,"Goat","m"
37,10,551,"Mantis","b"
72,71,461,"Pig","z"
54,122,920,"Mantis","l"
33,472,246,"Iguana","r"
100,137,788,"Gerbil","a"
100,207,609,"Sheep","a"
42,198,91,"Hamster","p"
79,42,146,"Turtle or Tortoise","e"
16,446,645,"Iguana","k"
67,84,361,"Hedgehog","l"
27,187,666,"Dog","k"
2,471,753,"Rat","d"
81,264,104,"Mouse","s"
33,1,408,"Horse","n"
24,228,404,"Iguana","c"
90,15,198,"Sheep","m"
22,478,809,"Alpaca","h"
81,271,768,"Salamander","k"
30,443,220,"Cat","r"
47,293,165,"Stick-Bugs","d"
14,409,232,"Iguana","e"
43,360,826,"Guinea Pig","v"
48,467,202,"Dog","x"
94,321,90,"Guinea Pig","y"
51,315,35,"Mouse","l"
81,1,844,"Hermit Crab","s"
63,224,762,"Alpaca","f"
31,17,95,"Rabbit","a"
72,208,461,"Snake","r"
61,361,371,"Sheep","o"
55,178,181,"Horse","y"
13,57,7,"Hamster","s"
19,333,235,"Goat","z"
36,319,383,"Gecko","b"
9,12,400,"Stick-Bugs","r"
56,380,731,"Sheep","d"
78,326,570,"Rabbit","f"
97,223,579,"Alpaca","e"
48,281,726,"Iguana","q"
40,409,763,"Dog","w"
41,379,812,"Cat","z"
55,317,877,"Alpaca","d"
6,477,334,"Stick-Bugs","l"
15,375,611,"Sheep","r"
62,26,85,"Iguana","u"
28,323,107,"Gecko","o"
20,314,460,"Newt","r"
87,72,561,"Guinea Pig","j"
5,474,893,"Iguana","v"
20,292,988,"Iguana","l"
95,202,576,"Fish","v"
72,476,320,"Spider","o"
59,353,255,"Newt","e"
37,227,485,"Turtle or Tortoise","f"
31,396,12,"Cat","t"
49,367,999,"Dog","d"
43,368,853,"Mouse","a"
35,385,464,"Guinea Pig","q"
58,46,694,"Ant Farm","j"
50,108,297,"Pig","i"
41,374,617,"Goat","f"
15,104,706,"Rat","u"
33,292,752,"Spider","t"
