"first_col","second_col","third_col","fourth_col","fifth_col"
20,275,607,"Cat","a"
24,24,182,"Gecko","q"
96,189,452,"Hamster","d"
50,194,667,"Iguana","c"
44,21,947,"Cat","r"
26,180,841,"Hedgehog","i"
43,7,157,"Alpaca","d"
31,482,238,"Bird","d"
42,65,277,"Frog or Toad","f"
44,315,888,"Mantis","r"
52,419,998,"Bird","w"
27,171,114,"Iguana","c"
19,273,674,"Guinea Pig","y"
20,40,75,"Hermit Crab","q"
54,427,636,"Alpaca","t"
18,169,817,"Mantis","b"
12,479,910,"Guinea Pig","k"
54,17,407,"Gecko","y"
34,426,151,"Gecko","m"
52,107,330,"Rat","j"
2,299,463,"Alpaca","r"
8,176,935,"Fish","k"
20,269,981,"Gecko","d"
41,183,878,"Mouse","n"
45,134,312,"Snake","m"
58,216,732,"Mouse","s"
76,33,118,"Spider","m"
40,258,168,"Guinea Pig","n"
23,274,993,"Cat","n"
81,484,610,"Turtle or Tortoise","p"
64,399,840,"Ferret","x"
10,80,823,"Mouse","u"
74,316,638,"Salamander","f"
30,4,774,"Pig","j"
64,395,311,"Pig","h"
1,135,873,"Goat","r"
7,357,645,"Iguana","e"
76,458,954,"Rat","i"
39,40,144,"Snake","x"
100,233,579,"Mouse","s"
32,151,431,"Rabbit","s"
9,58,447,"Horse","f"
30,414,861,"Alpaca","s"
20,175,870,"Bird","j"
13,302,786,"Gerbil","q"
7,468,595,"Fish","b"
2,301,280,"Mantis","i"
23,387,370,"Hamster","f"
13,474,188,"Rabbit","d"
90,288,686,"Rabbit","f"
71,269,23,"Pig","y"
30,400,456,"Sheep","f"
84,342,712,"Mantis","m"
4,403,103,"Goat","p"
93,465,801,"Hermit Crab","u"
28,392,562,"Alpaca","q"
99,242,865,"Cat","l"
36,418,679,"Mantis","y"
25,253,357,"Snake","n"
38,123,396,"Gerbil","d"
19,96,38,"Hermit Crab","d"
49,319,79,"Bird","p"
26,337,322,"Horse","z"
1,82,17,"Snake","c"
40,411,271,"Goat","u"
84,71,858,"Hermit Crab","v"
43,122,158,"Fish","v"
19,16,652,"Gerbil","w"
20,400,249,"Mantis","v"
66,353,991,"Spider","t"
22,399,970,"Rat","f"
27,451,509,"Hermit Crab","f"
89,114,54,"Gecko","c"
46,238,307,"Pig","d"
69,202,852,"Hamster","w"
24,448,387,"Bird","y"
91,219,67,"Dog","y"
20,322,787,"Alpaca","z"
21,208,920,"Spider","p"
35,110,78,"Frog or Toad","n"
67,401,564,"Stick-Bugs","k"
8,407,808,"Fish","y"
33,271,352,"Dog","t"
55,442,327,"Goat","l"
98,134,451,"Cat","y"
49,114,255,"Stick-Bugs","f"
6,47,663,"Mouse","j"
55,492,858,"Snake","t"
2,259,323,"Rabbit","g"
33,248,853,"Mantis","i"
72,450,778,"Rabbit","f"
20,63,944,"Mouse","j"
37,312,751,"Spider","j"
69,403,721,"Sheep","k"
37,493,421,"Gerbil","v"
69,224,328,"Hamster","k"
25,192,102,"Bird","o"
42,266,760,"Guinea Pig","z"
45,251,16,"Rat","b"
67,53,813,"Gecko","c"
