"first_col","second_col","third_col","fourth_col","fifth_col"
37,75,250,"Goat","v"
90,27,335,"Spider","f"
11,384,284,"Bird","p"
41,442,378,"Gerbil","h"
39,378,310,"Goat","e"
38,45,100,"Frog or Toad","v"
67,344,693,"Spider","s"
92,194,471,"Mantis","m"
1,335,207,"Goat","n"
24,233,244,"Hedgehog","i"
15,14,850,"Ant Farm","e"
46,318,311,"Rat","s"
43,296,522,"Alpaca","l"
49,141,207,"Gecko","g"
39,58,499,"Alpaca","e"
42,285,75,"Dog","d"
13,325,947,"Hamster","a"
2,247,150,"Rat","r"
74,387,935,"Alpaca","i"
57,340,777,"Guinea Pig","p"
47,174,188,"Pig","w"
24,103,55,"Gecko","q"
27,193,816,"Mantis","p"
22,352,320,"Goat","c"
94,391,973,"Hermit Crab","z"
82,495,30,"Newt","b"
4,97,374,"Rabbit","o"
1,95,245,"Mouse","y"
31,163,324,"Frog or Toad","k"
19,268,70,"Hedgehog","d"
15,98,225,"Gerbil","c"
27,131,345,"Gerbil","r"
71,56,192,"Mantis","j"
50,25,465,"Salamander","d"
8,377,588,"Hedgehog","b"
21,86,10,"Hamster","s"
30,54,876,"Guinea Pig","o"
18,229,901,"Ant Farm","u"
91,52,405,"Alpaca","t"
41,274,451,"Bird","x"
65,409,910,"Horse","m"
43,221,844,"Cat","c"
4,325,955,"Bird","f"
34,53,862,"Newt","f"
37,139,144,"Hermit Crab","y"
14,213,688,"Dog","i"
43,185,347,"Hermit Crab","q"
13,142,903,"Bird","t"
23,58,182,"Frog or Toad","v"
63,185,597,"Ant Farm","c"
33,436,691,"Ant Farm","l"
21,2,308,"Mantis","h"
52,284,307,"Stick-Bugs","p"
95,272,595,"Goat","f"
55,293,493,"Bird","t"
83,436,457,"Turtle or Tortoise","q"
91,13,887,"Gerbil","o"
54,160,110,"Mouse","a"
87,404,38,"Hermit Crab","q"
95,152,549,"Frog or Toad","r"
48,31,348,"Pig","b"
13,284,728,"Ant Farm","h"
32,35,918,"Gerbil","x"
50,57,954,"Bird","q"
36,233,798,"Rat","s"
77,473,543,"Rat","d"
5,392,641,"Fish","m"
15,419,418,"Salamander","j"
40,102,11,"Rat","p"
8,171,618,"Hedgehog","n"
13,191,301,"Ant Farm","l"
33,22,860,"Gerbil","h"
7,343,365,"Guinea Pig","f"
95,366,604,"Frog or Toad","z"
16,483,825,"Spider","b"
40,202,693,"Ant Farm","w"
40,158,28,"Salamander","i"
70,112,305,"Mantis","y"
55,418,825,"Fish","k"
16,372,814,"Fish","i"
37,259,338,"Spider","h"
42,433,184,"Dog","s"
6,430,213,"Stick-Bugs","h"
2,229,575,"Hedgehog","c"
94,435,526,"Dog","n"
11,149,840,"Salamander","f"
13,9,851,"Rabbit","s"
68,285,57,"Frog or Toad","b"
2,448,798,"Hermit Crab","b"
42,212,767,"Alpaca","h"
12,218,799,"Guinea Pig","g"
12,219,631,"Iguana","p"
35,479,816,"Iguana","s"
79,122,123,"Newt","t"
42,366,455,"Hedgehog","j"
66,389,225,"Salamander","u"
5,245,780,"Cat","w"
40,251,470,"Iguana","m"
33,499,726,"Bird","l"
20,204,945,"Horse","e"
