"first_col","second_col","third_col","fourth_col","fifth_col"
97,244,387,"Salamander","v"
27,53,253,"Cat","o"
79,165,885,"Dog","o"
4,150,684,"Gecko","n"
65,186,937,"Ferret","j"
48,308,38,"Gecko","m"
22,276,426,"Gerbil","v"
24,382,526,"Hamster","v"
9,468,271,"Rat","v"
57,9,253,"Fish","v"
11,352,788,"Pig","h"
15,77,692,"Frog or Toad","z"
45,176,784,"Rabbit","n"
64,422,652,"Hedgehog","h"
80,373,466,"Rat","n"
28,132,688,"Goat","j"
39,194,301,"Snake","e"
49,98,541,"Pig","e"
10,3,188,"Rat","p"
37,118,331,"Mouse","z"
45,349,172,"Mouse","q"
32,159,429,"Ferret","i"
27,160,528,"Mouse","x"
6,162,779,"Hermit Crab","p"
95,383,553,"Stick-Bugs","s"
28,457,733,"Horse","u"
55,339,532,"Sheep","p"
64,422,238,"Spider","l"
48,334,589,"Cat","j"
20,48,243,"Snake","n"
10,19,504,"Bird","w"
47,345,946,"Cat","x"
8,99,50,"Sheep","s"
19,431,791,"Rabbit","l"
43,12,986,"Cat","g"
49,208,398,"Horse","s"
39,388,933,"Gerbil","z"
41,390,588,"Fish","o"
62,385,749,"Gerbil","d"
83,372,374,"Bird","c"
25,470,362,"Pig","q"
42,212,619,"Rat","c"
37,192,689,"Rabbit","f"
28,305,990,"Ferret","x"
37,238,949,"Dog","b"
81,33,572,"Gerbil","j"
6,122,167,"Guinea Pig","w"
59,297,998,"Iguana","y"
26,104,604,"Snake","e"
44,148,167,"Gerbil","t"
4,210,18,"Frog or Toad","j"
55,439,624,"Bird","q"
10,2,209,"Rat","n"
53,433,371,"Snake","c"
46,99,48,"Bird","u"
27,336,540,"Goat","o"
92,42,368,"Hermit Crab","z"
24,274,109,"Rabbit","x"
56,74,173,"Sheep","n"
62,289,658,"Bird","z"
40,169,944,"Turtle or Tortoise","f"
49,86,947,"Alpaca","x"
4,222,519,"Mantis","b"
2,211,96,"Hamster","g"
46,332,559,"Ant Farm","y"
4,129,964,"Cat","o"
89,79,84,"Alpaca","q"
44,352,958,"Gecko","f"
23,350,445,"Alpaca","a"
8,241,420,"Mouse","i"
34,424,92,"Newt","v"
25,208,741,"Gecko","j"
29,169,82,"Frog or Toad","l"
31,213,140,"Sheep","k"
41,467,650,"Gecko","n"
42,355,961,"Cat","b"
85,159,473,"Turtle or Tortoise","v"
19,180,51,"Alpaca","b"
27,9,619,"Mantis","t"
46,74,122,"Newt","c"
63,53,731,"Spider","j"
42,3,975,"Horse","u"
48,498,691,"Dog","v"
34,16,820,"Hermit Crab","p"
37,214,830,"Sheep","d"
69,477,353,"Snake","e"
13,126,91,"Ferret","c"
60,496,989,"Cat","o"
56,473,928,"Fish","v"
19,15,983,"Bird","f"
4,173,279,"Guinea Pig","c"
15,452,654,"Hedgehog","j"
71,178,47,"Newt","l"
23,348,659,"Snake","q"
29,194,685,"Pig","j"
29,479,133,"Mantis","y"
63,467,750,"Alpaca","b"
29,283,331,"Iguana","p"
73,327,883,"Fish","d"
30,231,200,"Ant Farm","h"
