"first_col","second_col","third_col","fourth_col","fifth_col"
92,345,330,"Hamster","c"
36,384,123,"Hermit Crab","a"
14,241,398,"Gerbil","o"
77,499,948,"Cat","q"
55,311,886,"Guinea Pig","s"
30,197,665,"Mouse","a"
31,279,655,"Guinea Pig","u"
1,422,962,"Gerbil","k"
37,405,974,"Mouse","t"
11,83,289,"Snake","v"
72,383,206,"Salamander","c"
25,51,847,"Stick-Bugs","y"
89,245,832,"Turtle or Tortoise","e"
100,170,773,"Gecko","f"
60,224,605,"Rabbit","i"
9,149,92,"Spider","y"
66,377,783,"Cat","g"
65,12,864,"Alpaca","r"
55,399,71,"Sheep","b"
14,355,167,"Spider","m"
50,252,369,"Gecko","v"
4,57,426,"Pig","o"
34,82,760,"Fish","l"
85,136,969,"Iguana","h"
92,230,798,"Bird","h"
19,422,804,"Salamander","j"
17,194,654,"Snake","s"
73,313,601,"Gecko","d"
24,171,834,"Hermit Crab","b"
78,449,149,"Dog","z"
10,337,510,"Dog","q"
25,414,230,"Pig","h"
23,358,267,"Alpaca","g"
7,144,731,"Iguana","a"
21,367,30,"Turtle or Tortoise","k"
4,55,60,"Gerbil","x"
78,198,947,"Sheep","i"
46,339,876,"Bird","l"
95,166,915,"Stick-Bugs","w"
50,497,796,"Mouse","l"
28,316,909,"Goat","i"
95,201,7,"Mouse","v"
78,250,7,"Mouse","z"
2,476,944,"Hamster","t"
30,327,328,"Bird","h"
7,419,921,"Gerbil","b"
36,171,65,"Snake","f"
78,97,624,"Newt","s"
42,422,255,"Spider","f"
13,338,839,"Pig","q"
10,177,875,"Guinea Pig","o"
41,322,263,"Newt","p"
3,439,133,"Turtle or Tortoise","r"
34,280,622,"Gerbil","g"
19,462,176,"Frog or Toad","x"
31,387,434,"Salamander","r"
21,348,402,"Bird","y"
19,352,991,"Hamster","e"
38,340,917,"Spider","s"
32,221,174,"Mouse","s"
98,125,905,"Cat","o"
54,247,779,"Iguana","v"
55,74,520,"Spider","b"
88,41,81,"Salamander","b"
12,131,619,"Ant Farm","q"
29,395,306,"Spider","g"
38,40,159,"Horse","x"
2,41,640,"Hermit Crab","d"
35,177,838,"Rabbit","k"
99,447,492,"Ant Farm","g"
44,145,936,"Spider","f"
2,109,250,"Ferret","z"
40,61,783,"Spider","g"
90,153,975,"Iguana","y"
6,366,354,"Guinea Pig","a"
86,76,349,"Guinea Pig","e"
45,288,504,"Rabbit","s"
97,230,665,"Mantis","p"
1,244,499,"Horse","u"
3,112,526,"Fish","a"
67,77,400,"Bird","z"
26,354,882,"Hamster","k"
1,307,803,"Pig","f"
2,482,478,"Rat","p"
60,420,227,"Iguana","i"
79,317,735,"Sheep","q"
84,174,528,"Gerbil","j"
58,416,224,"Gecko","s"
31,129,769,"Salamander","g"
43,253,413,"Ferret","o"
84,307,848,"Gecko","b"
39,399,782,"Hedgehog","f"
2,128,592,"Frog or Toad","a"
51,113,396,"Gecko","f"
30,146,983,"Ferret","k"
39,489,567,"Sheep","d"
9,355,648,"Pig","t"
1,137,433,"Guinea Pig","e"
12,442,114,"Dog","y"
12,292,652,"Goat","b"
