"first_col","second_col","third_col","fourth_col","fifth_col"
49,480,725,"Mouse","q"
53,37,191,"Ferret","g"
28,315,789,"Guinea Pig","s"
1,396,457,"Turtle or Tortoise","v"
13,240,92,"Alpaca","z"
21,14,860,"Rabbit","k"
22,358,943,"Alpaca","d"
59,481,419,"Horse","v"
87,387,150,"Mouse","l"
51,450,311,"Salamander","z"
36,494,951,"Salamander","w"
78,272,458,"Salamander","g"
47,85,574,"Pig","q"
71,214,620,"Goat","q"
10,254,649,"Hedgehog","u"
12,77,16,"Alpaca","j"
96,428,79,"Turtle or Tortoise","a"
32,357,629,"Spider","f"
25,255,77,"Bird","n"
98,397,333,"Salamander","r"
47,451,270,"Hamster","x"
20,405,492,"Snake","s"
27,477,106,"Iguana","o"
46,359,325,"Hedgehog","d"
22,61,849,"Cat","e"
3,23,614,"Cat","m"
91,257,686,"Stick-Bugs","v"
3,491,682,"Salamander","e"
53,269,420,"Sheep","b"
2,218,589,"Spider","a"
51,212,214,"Gerbil","u"
49,160,374,"Sheep","c"
30,150,576,"Rat","y"
20,130,963,"Mantis","z"
54,349,807,"Newt","u"
40,21,542,"Newt","l"
50,98,320,"Dog","t"
37,45,926,"Hamster","g"
33,142,935,"Spider","r"
28,294,682,"Spider","z"
30,88,997,"Mouse","b"
46,220,897,"Gerbil","n"
52,101,619,"Hermit Crab","q"
10,272,630,"Iguana","y"
41,53,573,"Mantis","v"
38,160,951,"Hermit Crab","o"
30,364,733,"Cat","z"
25,62,845,"Sheep","o"
70,84,127,"Gerbil","c"
99,500,992,"Frog or Toad","z"
12,307,942,"Newt","c"
14,69,902,"Horse","y"
63,489,649,"Gerbil","u"
75,122,925,"Alpaca","z"
19,416,685,"Pig","r"
96,239,979,"Newt","w"
34,156,151,"Bird","w"
59,30,962,"Dog","i"
65,270,818,"Newt","t"
52,51,942,"Rat","t"
46,22,858,"Turtle or Tortoise","e"
3,58,410,"Spider","a"
79,497,966,"Sheep","g"
32,431,923,"Ant Farm","s"
4,187,341,"Ant Farm","d"
24,148,180,"Hedgehog","h"
36,38,926,"Newt","k"
61,416,42,"Gecko","i"
22,123,473,"Cat","y"
43,434,959,"Cat","y"
36,29,785,"Mouse","u"
49,424,718,"Goat","l"
100,6,477,"Gerbil","i"
53,455,941,"Gerbil","n"
9,250,939,"Hedgehog","f"
24,281,210,"Turtle or Tortoise","e"
22,59,902,"Spider","c"
13,344,584,"Stick-Bugs","e"
6,118,650,"Rat","f"
36,122,41,"Stick-Bugs","i"
18,465,91,"Turtle or Tortoise","c"
35,329,490,"Cat","o"
20,265,199,"Snake","s"
10,181,183,"Ferret","w"
64,423,696,"Sheep","m"
33,322,239,"Ferret","s"
99,39,666,"Horse","t"
10,325,747,"Snake","n"
27,235,372,"Mantis","x"
40,224,465,"Horse","z"
1,335,669,"Goat","f"
66,308,764,"Alpaca","g"
77,447,855,"Fish","y"
1,9,583,"Goat","k"
99,231,379,"Goat","r"
18,203,409,"Mantis","y"
48,38,611,"Horse","i"
23,397,14,"Hamster","e"
20,39,560,"Spider","r"
45,151,987,"Fish","s"
