"first_col","second_col","third_col","fourth_col","fifth_col"
25,158,301,"Alpaca","g"
45,133,838,"Salamander","y"
16,191,487,"Hermit Crab","y"
55,329,1,"Ant Farm","y"
85,293,145,"Mouse","u"
90,298,195,"Dog","k"
14,115,882,"Rabbit","k"
51,317,505,"Alpaca","o"
59,302,20,"Spider","m"
72,423,426,"Alpaca","s"
81,64,688,"Hermit Crab","i"
5,162,220,"Spider","j"
95,111,373,"Goat","v"
37,498,823,"Cat","j"
35,412,882,"Ant Farm","s"
40,96,49,"Hermit Crab","w"
16,56,765,"Ferret","z"
24,340,117,"Pig","i"
15,231,853,"Gecko","d"
8,321,180,"Ferret","r"
59,479,287,"Sheep","l"
81,283,699,"Guinea Pig","o"
55,75,502,"Goat","r"
40,413,961,"Stick-Bugs","b"
32,243,94,"Snake","w"
65,238,124,"Iguana","y"
7,362,120,"Dog","h"
71,383,622,"Bird","o"
20,429,914,"Fish","l"
67,311,579,"Frog or Toad","q"
4,57,675,"Pig","c"
41,83,715,"Horse","q"
22,20,749,"Gerbil","w"
16,378,383,"Hermit Crab","x"
83,438,664,"Newt","r"
61,29,568,"Spider","j"
67,6,820,"Gecko","r"
3,200,638,"Dog","a"
24,223,854,"Iguana","k"
5,103,582,"Hedgehog","n"
2,282,681,"Bird","f"
89,455,743,"Ferret","a"
77,21,682,"Ferret","w"
54,341,749,"Hedgehog","l"
92,358,833,"Gecko","j"
26,47,542,"Dog","y"
13,333,807,"Hermit Crab","l"
4,26,979,"Sheep","e"
4,188,44,"Cat","x"
16,454,191,"Bird","m"
1,21,876,"Stick-Bugs","p"
60,87,198,"Frog or Toad","x"
3,435,846,"Snake","r"
100,374,176,"Ferret","r"
41,480,166,"Gecko","h"
60,395,156,"Snake","i"
20,61,35,"Ferret","h"
26,42,974,"Frog or Toad","p"
30,200,245,"Hermit Crab","a"
39,83,133,"Gecko","z"
14,153,304,"Mantis","x"
2,348,296,"Rat","e"
85,125,308,"Hedgehog","t"
34,58,193,"Ferret","c"
16,380,175,"Gerbil","w"
47,112,781,"Hedgehog","a"
16,30,601,"Fish","b"
85,153,997,"Hedgehog","c"
13,154,760,"Hermit Crab","x"
43,147,144,"Gecko","e"
74,241,769,"Ant Farm","u"
48,293,100,"Rabbit","y"
15,338,67,"Mouse","w"
10,60,721,"Frog or Toad","x"
42,23,423,"Fish","p"
86,230,833,"Guinea Pig","x"
89,246,951,"Salamander","v"
2,222,327,"Gerbil","c"
21,188,902,"Pig","j"
75,424,328,"Frog or Toad","g"
72,190,596,"Horse","c"
26,225,760,"Mantis","c"
41,297,2,"Mantis","e"
53,379,515,"Hermit Crab","k"
84,491,166,"Gerbil","e"
40,171,715,"Ferret","x"
32,189,406,"Goat","f"
91,500,703,"Guinea Pig","t"
64,212,325,"Ant Farm","k"
29,146,615,"Newt","i"
62,414,863,"Hedgehog","u"
93,165,469,"Turtle or Tortoise","u"
29,438,646,"Guinea Pig","t"
51,246,422,"Salamander","w"
64,328,536,"Dog","r"
88,204,894,"Cat","y"
67,346,597,"Alpaca","v"
66,60,227,"Snake","l"
42,244,35,"Horse","m"
49,300,4,"Horse","d"
